,idDrink,strDrink,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,all_ingredients,soup
252,17256,Martinez 2,Cocktail,,Alcoholic,Cocktail glass,"Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass.",https://www.thecocktaildb.com/images/media/drink/fs6kiq1513708455.jpg,Gin,Sweet Vermouth,Maraschino Liqueur,Angostura Bitters,,,,,,,1 1/2 oz,1 1/2 oz,1 tsp,2 dashes,,,,,,,"Gin,Sweet Vermouth,Maraschino Liqueur,Angostura Bitters","Gin,Sweet Vermouth,Maraschino Liqueur,Angostura Bitters,Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass."
253,12774,Masala Chai,Coffee / Tea,,Non alcoholic,Coffee Mug,Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.,https://www.thecocktaildb.com/images/media/drink/uyrpww1441246384.jpg,Water,Tea,Ginger,Cardamom,Cloves,Cinnamon,Black pepper,Sugar,Milk,,2 cups ,3-4 tsp ,1 chunk dried ,3-4 crushed ,3 ,1 piece ,1-2 whole ," to taste
",,,"Water,Tea,Ginger,Cardamom,Cloves,Cinnamon,Black pepper,Sugar,Milk","Water,Tea,Ginger,Cardamom,Cloves,Cinnamon,Black pepper,Sugar,Milk,Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT."
254,12988,Mulled Wine,Punch / Party Drink,,Alcoholic,Collins Glass,"Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.",https://www.thecocktaildb.com/images/media/drink/iuwi6h1504735724.jpg,Water,Sugar,Cloves,Cinnamon,Lemon peel,Red wine,Brandy,,,,3 cups ,1 cup ,12 ,2 ,1 ,750 ml ,1/4 cup ,,,,"Water,Sugar,Cloves,Cinnamon,Lemon peel,Red wine,Brandy","Water,Sugar,Cloves,Cinnamon,Lemon peel,Red wine,Brandy,Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy."
255,11009,Moscow Mule,Punch / Party Drink,Contemporary Classics,Alcoholic,Copper Mug,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,https://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg,Vodka,Lime juice,Ginger ale,,,,,,,,2 oz ,2 oz ,8 oz ,,,,,,,,"Vodka,Lime juice,Ginger ale","Vodka,Lime juice,Ginger ale,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish."
256,14209,Mocha-Berry,Coffee / Tea,,Alcoholic,Irish coffee cup,"pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream.",https://www.thecocktaildb.com/images/media/drink/vtwyyx1441246448.jpg,Coffee,Chambord raspberry liqueur,Cocoa powder,Whipped cream,,,,,,,6 oz ,2 oz ,2 tblsp ,,,,,,,,"Coffee,Chambord raspberry liqueur,Cocoa powder,Whipped cream","Coffee,Chambord raspberry liqueur,Cocoa powder,Whipped cream,pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream."
257,178315,Munich Mule,Cocktail,,Alcoholic,Highball glass,"Fill glass with ice
Pour Gin and Lime Juice
Fill glass with Ginger Beer
Garnish with Cucumer and Lime slice",https://www.thecocktaildb.com/images/media/drink/rj55pl1582476101.jpg,Gin,Lime Juice,Ginger Beer,Cucumber,lemon,,,,,,5 cl,2 cl,10 cl,Chopped,Chopped,,,,,,"Gin,Lime Juice,Ginger Beer,Cucumber,lemon,,","Gin,Lime Juice,Ginger Beer,Cucumber,lemon,,,Fill glass with ice
Pour Gin and Lime Juice
Fill glass with Ginger Beer
Garnish with Cucumer and Lime slice"
258,17189,Monkey Gland,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",https://www.thecocktaildb.com/images/media/drink/94psp81504350690.jpg,Gin,Benedictine,Orange juice,Grenadine,,,,,,,2 oz ,1 tsp ,1/2 oz ,1 tsp ,,,,,,,"Gin,Benedictine,Orange juice,Grenadine","Gin,Benedictine,Orange juice,Grenadine,Shake well over ice cubes in a shaker, strain into a chilled cocktail glass."
259,11798,Monkey Wrench,Ordinary Drink,,Alcoholic,Old-fashioned glass,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/bw2noj1582473243.jpg,Light rum,Grapefruit juice,Bitters,,,,,,,,1 1/2 oz ,3 oz ,1 dash ,,,,,,,,"Light rum,Grapefruit juice,Bitters","Light rum,Grapefruit juice,Bitters,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well."
260,13825,Midnight Manx,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!",https://www.thecocktaildb.com/images/media/drink/uqqurp1441208231.jpg,Kahlua,Baileys irish cream,Goldschlager,Heavy cream,Coffee,,,,,,1 oz ,1 oz ,dash ,2 oz ,2 oz Hazlenut ,,,,,,"Kahlua,Baileys irish cream,Goldschlager,Heavy cream,Coffee","Kahlua,Baileys irish cream,Goldschlager,Heavy cream,Coffee,Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!"
261,14053,Mother's Milk,Shot,,Alcoholic,Shot glass,"Shake over ice, strain. Serves two.",https://www.thecocktaildb.com/images/media/drink/7stuuh1504885399.jpg,Goldschlager,Butterscotch schnapps,Milk,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,"Goldschlager,Butterscotch schnapps,Milk","Goldschlager,Butterscotch schnapps,Milk,Shake over ice, strain. Serves two."
